picture_1,picture_2,picture_3,picture_4,start_imagine,imagine_text_index_1_2,imagine_text_index_3_4,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,thisRow.t,notes,start.started,start.stopped,introduction.started,introduction_text.started,introduction.stopped,prepare.started,task_begin.started,task_begin.stopped,prepare.stopped,view.started,image.started,view.stopped,break_3s.started,fixation.started,break_3s.stopped,recall.started,recall_text.started,recall_text.stopped,recall.stopped,fixation.stopped,imagine.started,imagine.stopped,imagine_condition.started,imagine_condition.stopped,break_5s.started,break_5s.stopped,image.stopped,imagine_txt.started,instruction.started,imagine_txt.stopped,instruction.stopped,imagine_task.started,imagine_task.stopped,fixation_2.started,fixation_2.stopped,end.started,end_text.started,end_text.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
dog8.jpg,dog10.jpg,sunflower8.jpg,sunflower5.jpg,1,1,4,0,7,7,7,226.9201806250494,,,,,,,,,,,226.91211675002705,226.9201806250494,236.90357175003737,249.8839064160129,249.90022508299444,252.88394208298996,239.89600716601126,239.9005744580645,249.89558762509841,249.88388762506656,252.91221000009682,252.88396562507842,260.9120609581005,260.91207437508274,270.90086183301173,270.9008809160441,275.8965436660219,236.91138620802667,252.92872970807366,252.92872970807366,,,260.9160475410754,270.9124494580319,270.9124494580319,275.9146684160223,,,,,1,001,2025-03-04_15h31.40.655,fmri design,2024.1.5,None,2025-03-04 15h32.20.966585 -0500,
dog9.jpg,dog8.jpg,sunflower9.jpg,sunflower2.jpg,0,None,None,0,8,8,8,275.9146684160223,,,,,,,,,,,275.89693820802495,275.9146684160223,285.9011857910082,298.88518820807803,298.900996958022,301.88442787504755,288.89678195805755,288.9013618330937,298.896262416034,298.8851642080117,301.89576912508346,301.8844490000047,301.884517208091,301.88453283300623,301.8845592500875,301.8845709580928,301.88459529099055,285.91272866609506,,,,,,,,,,,,,1,001,2025-03-04_15h31.40.655,fmri design,2024.1.5,None,2025-03-04 15h32.20.966585 -0500,
dog10.jpg,dog6.jpg,sunflower10.jpg,sunflower9.jpg,0,None,None,0,9,9,9,301.89576912508346,,,,,,,,,,,301.8849268750055,301.89576912508346,311.8799991660053,324.8643045410281,324.88002637505997,327.86436408304144,314.8685746660922,314.87994870799594,324.8673473329982,324.86427779099904,327.8825014580507,327.8643872500397,327.8644621660933,327.86448062502313,327.8645114999963,327.86452562501654,327.8645542500308,311.88337875006255,,,,,,,,,,,,,1,001,2025-03-04_15h31.40.655,fmri design,2024.1.5,None,2025-03-04 15h32.20.966585 -0500,
dog11.jpg,dog1.jpg,sunflower11.jpg,sunflower1.jpg,0,None,None,0,10,10,10,327.8825014580507,,,,,,,,,,,327.86497133306693,327.8825014580507,337.8682488750201,350.852561583044,350.8639909999911,353.8481977500487,340.86461150005925,340.86917554109823,350.8639909999911,350.8525397910271,353.8651773330057,353.84822275000624,353.84830458299257,353.8483234579908,353.84835500002373,353.8483690409921,353.84839766600635,,,,,,,,,,,,,,1,001,2025-03-04_15h31.40.655,fmri design,2024.1.5,None,2025-03-04 15h32.20.966585 -0500,
dog12.jpg,dog4.jpg,sunflower12.jpg,sunflower11.jpg,1,2,5,0,11,11,11,353.8651773330057,,,,,,,,,,,353.848798250081,353.8651773330057,363.8485348330578,376.83677058306057,376.8474535830319,379.8318256660132,366.84823508304544,366.8524636660004,376.8474535830319,376.8367539580213,379.84765320806764,379.8318462080788,387.83183770801406,387.83185366599355,397.8202448330121,397.82026791607495,402.8202174580656,363.854098000098,379.84765320806764,379.84765320806764,387.83545420807786,387.83545420807786,387.83545420807786,397.83150950004347,397.83633504109457,402.83096266607754,,,,,1,001,2025-03-04_15h31.40.655,fmri design,2024.1.5,None,2025-03-04 15h32.20.966585 -0500,
sunflower1.jpg,sunflower3.jpg,dog1.jpg,dog2.jpg,0,None,None,0,12,12,12,402.83096266607754,,,,,,,,,,,402.8205659580417,402.83482362504583,412.81941637501586,425.8205507081002,425.837091500056,428.8208629160654,415.8326813330641,415.83711587509606,425.8320738330949,425.8205307080643,428.83145837509073,428.82088316604495,428.8209502500249,428.8209671661025,428.82099345803726,428.82100525009446,428.8210288330447,412.83176729106344,,,,,,,,,,,,,1,001,2025-03-04_15h31.40.655,fmri design,2024.1.5,None,2025-03-04 15h32.20.966585 -0500,
sunflower2.jpg,sunflower12.jpg,dog2.jpg,dog12.jpg,0,None,None,0,13,13,13,428.83145837509073,,,,,,,,,,,428.8213725410169,428.83145837509073,438.8164285410894,451.81714454106987,451.82253950007726,454.81666025007144,441.8167890000623,441.82217970804777,451.82253950007726,451.8171182500664,454.82646100001875,454.8166845830856,454.81677658308763,454.81679595808964,454.8168265830027,454.81684079102706,454.8168689160375,438.82152166601736,,,,,,,,,,,,,1,001,2025-03-04_15h31.40.655,fmri design,2024.1.5,None,2025-03-04 15h32.20.966585 -0500,
sunflower3.jpg,sunflower7.jpg,dog3.jpg,dog9.jpg,0,None,None,0,14,14,14,454.82646100001875,,,,,,,,,,,454.8172633750364,454.82646100001875,464.8171790000051,477.80504966608714,477.81627220800146,480.80059470806736,467.81693820806686,467.82161125005223,477.81627220800146,477.8050255830167,480.8102455410408,480.8006154160248,480.80067858309485,480.8006940410705,480.800719083054,480.8007306250511,480.8007532500196,464.8225094160298,,,,,,,,,,,,,1,001,2025-03-04_15h31.40.655,fmri design,2024.1.5,None,2025-03-04 15h32.20.966585 -0500,
sunflower4.jpg,sunflower6.jpg,dog4.jpg,dog7.jpg,1,3,0,0,15,15,15,480.8102455410408,,,,,,,,,,,480.8010831660358,480.8102455410408,490.80115891608875,503.80080604099203,503.8049927080283,506.78875187505037,493.80107279110234,493.8060923330486,503.8049927080283,503.8007859160425,506.8038877500221,506.7887725410983,514.78885016602,514.7888634580886,524.7844799160957,524.7845065000001,529.7727777910186,490.8061579160858,506.8038877500221,506.8038877500221,514.8002389580943,514.8002389580943,514.8002389580943,524.7887127910508,524.7887127910508,529.7833490410121,,,,,1,001,2025-03-04_15h31.40.655,fmri design,2024.1.5,None,2025-03-04 15h32.20.966585 -0500,
sunflower5.jpg,sunflower10.jpg,dog5.jpg,dog11.jpg,0,None,None,0,16,16,16,529.7833490410121,,,,,,,,,,,529.773123541032,529.7871532910503,539.7728913750034,552.7731711250963,552.7893106250558,555.7730740410043,542.7850587910507,542.7892999160103,552.7842855410418,552.7731530410238,555.7839485830627,555.7730987910181,555.7731649579946,555.7731809160905,555.7732082500588,555.7732198330341,555.7732441660482,539.7842078329995,,,,,,,,,,,,,1,001,2025-03-04_15h31.40.655,fmri design,2024.1.5,None,2025-03-04 15h32.20.966585 -0500,
sunflower6.jpg,sunflower8.jpg,dog6.jpg,dog3.jpg,0,None,None,0,17,17,17,555.7839485830627,,,,,,,,,,,555.7735778330825,555.7839485830627,565.7692552080844,578.7570639160695,578.7680117500713,581.752481958014,568.7689887500601,568.7732619580347,578.7680117500713,578.7570433330256,581.7632860830054,581.7525066250237,581.7525876250584,581.7526067500003,581.7526372080902,581.7526515410282,581.7526796660386,565.7745013330132,,,,,,,,,,,,,1,001,2025-03-04_15h31.40.655,fmri design,2024.1.5,None,2025-03-04 15h32.20.966585 -0500,
sunflower7.jpg,sunflower4.jpg,dog7.jpg,dog5.jpg,0,None,None,0,18,18,18,581.7632860830054,,,,,,,,,,,581.7530735000037,581.7632860830054,591.7530412500491,604.7529771249974,604.7572428750573,607.741109375027,594.7527332080062,594.7577402080642,604.7572428750573,604.7529599160189,607.7515227909898,607.7411301250104,607.7411951660179,607.7412114160834,607.7412372080144,607.7412487081019,607.7412719160784,591.7587027500849,,,,,,,,,,,,,1,001,2025-03-04_15h31.40.655,fmri design,2024.1.5,None,2025-03-04 15h32.20.966585 -0500,
sunflower8.jpg,sunflower5.jpg,dog8.jpg,dog10.jpg,1,4,1,0,19,19,19,607.7515227909898,,,,,,,,,,,607.7416049580788,607.7515227909898,617.736530458089,630.7248587500071,630.7358040410327,633.7202324580867,620.7364758329932,620.7408157500904,630.7358040410327,630.7248392080655,633.7324659579899,633.7202545830514,641.7246425830526,641.7246566660469,651.7205785830738,651.7206020830199,656.720810208004,617.7419565829914,633.7383460000856,633.7383460000856,641.7359718750231,641.7359718750231,641.7359718750231,651.7239358330844,651.7362330830656,656.7305042500375,,,,,1,001,2025-03-04_15h31.40.655,fmri design,2024.1.5,None,2025-03-04 15h32.20.966585 -0500,
sunflower9.jpg,sunflower2.jpg,dog9.jpg,dog8.jpg,0,None,None,0,20,20,20,656.7305042500375,,,,,,,,,,,656.7212265410926,656.7356586250244,666.7213166659931,679.7211198750883,679.73676579108,682.720900541055,669.7208635000279,669.7365302500548,679.724454500014,679.7210995410569,682.7310735000065,682.7209179580677,682.7209759580437,682.7209909580415,682.7210160410032,682.7210275830003,682.7210510830628,666.7249502080958,,,,,,,,,,,,,1,001,2025-03-04_15h31.40.655,fmri design,2024.1.5,None,2025-03-04 15h32.20.966585 -0500,
sunflower10.jpg,sunflower9.jpg,dog10.jpg,dog6.jpg,0,None,None,0,21,21,21,682.7310735000065,,,,,,,,,,,682.7213758330327,682.7310735000065,692.7218735000351,705.7099437500583,705.7205106660258,708.7050765830791,695.7214281660272,695.7262682500295,705.7205106660258,705.7099195830524,708.7160163749941,708.7051041250816,708.7051825830713,708.7052019160474,708.70523387508,708.705248082988,708.7052777080098,692.7274680830305,,,,,,,,,,,,,1,001,2025-03-04_15h31.40.655,fmri design,2024.1.5,None,2025-03-04 15h32.20.966585 -0500,
sunflower11.jpg,sunflower1.jpg,dog11.jpg,dog1.jpg,0,None,None,0,22,22,22,708.7160163749941,,,,,,,,,,,708.7056888750521,708.7160163749941,718.705311250058,731.693497958011,731.7044700830011,734.6889920000685,721.7047754160594,721.7081959160278,731.7044700830011,731.6934774999972,734.7000171660911,734.6890143330675,734.6890860000858,734.6891065830132,734.6891363330651,734.6891502080252,734.6891785000917,718.7107886250596,,,,,,,,,,,,,1,001,2025-03-04_15h31.40.655,fmri design,2024.1.5,None,2025-03-04 15h32.20.966585 -0500,
sunflower12.jpg,sunflower11.jpg,dog12.jpg,dog4.jpg,1,5,2,0,23,23,23,734.7000171660911,,,,,,,,,,,734.6895640410949,734.7000171660911,744.6894627080765,757.6776052910136,757.6882050830172,760.6722593749873,747.6891522910446,747.6940100000938,757.6882050830172,757.6775841660565,760.6835779580288,760.6722800830612,768.6776920000557,768.6777074580314,778.6729712500237,778.6729934579926,783.6730694579892,744.6952464160277,760.6918289579917,760.6918289579917,768.6884532910772,768.6884532910772,768.6884532910772,778.6778217080282,778.6778217080282,783.6783880830044,,,,,1,001,2025-03-04_15h31.40.655,fmri design,2024.1.5,None,2025-03-04 15h32.20.966585 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783.6731527500087,783.6783880830044,793.6755403750576,793.673283666023,1,001,2025-03-04_15h31.40.655,fmri design,2024.1.5,None,2025-03-04 15h32.20.966585 -0500,
